accTradePrice,accTradeVolume,change,changePrice,date,foreignStraightPurchasePrice,individualStraightPurchasePrice,institutionStraightPurchasePrice,tradePrice
4247457,257453,RISE,8.9,2019-04-02 00:00:00,273406478933,-103600430646,-150581917969,2177.18
4365111,263312,RISE,27.61,2019-04-01 00:00:00,249088851263,-438066169858,184589671919,2168.28
5248941,364618,RISE,12.57,2019-03-29 00:00:00,89041649012,-156006725386,59696632751,2140.67
4403905,288036,FALL,17.52,2019-03-28 00:00:00,-13904251094,83696655492,-83176888246,2128.1
4490155,363169,FALL,3.18,2019-03-27 00:00:00,-156137630355,19189157579,120182884108,2145.62
4248900,301253,RISE,3.94,2019-03-26 00:00:00,37396934512,155665665386,-191513709988,2148.8
4136472,307071,FALL,42.09,2019-03-25 00:00:00,-70853127031,269204398460,-219094912901,2144.86
6881722,333617,RISE,2.07,2019-03-22 00:00:00,501319850079,47138478352,-561768759655,2186.95
6229925,342747,RISE,7.78,2019-03-21 00:00:00,484065339759,-326383527941,-151526567122,2184.88
4175741,317606,FALL,0.52,2019-03-20 00:00:00,-123654088780,85576985458,38732175899,2177.1
3867859,319702,FALL,1.87,2019-03-19 00:00:00,-12413032485,36930310648,-15797411779,2177.62
4093226,257951,RISE,3.38,2019-03-18 00:00:00,-48787769406,-186777269431,228677329333,2179.49
6821323,387135,RISE,20.43,2019-03-15 00:00:00,-134219016142,-496308808713,628388384084,2176.11
5882524,341009,RISE,7.27,2019-03-14 00:00:00,286699994288,141640536139,-434371391530,2155.68
4088450,285600,FALL,8.77,2019-03-13 00:00:00,100064556811,95657129720,-203107947266,2148.41
4222805,355282,RISE,19.08,2019-03-12 00:00:00,-2304218047,-22480661728,82392482069,2157.18
4077476,272103,RISE,0.66,2019-03-11 00:00:00,-179309876147,89359044451,16639730580,2138.1
4497331,313314,FALL,28.35,2019-03-08 00:00:00,-173863396395,293213295508,-127447461480,2137.44
4858918,292578,FALL,9.81,2019-03-07 00:00:00,397749809,110774668511,-112972757189,2165.79
4828088,328943,FALL,3.63,2019-03-06 00:00:00,5960479949,65444620090,-53182364884,2175.6
4980940,313145,FALL,11.43,2019-03-05 00:00:00,-157017695710,244352695932,-91932649815,2179.23
6405237,373166,FALL,4.78,2019-03-04 00:00:00,-131953894891,40328329456,76676527211,2190.66
8307295,510022,FALL,39.35,2019-02-28 00:00:00,-253615330622,-61784182288,316907947344,2195.44
4914612,301513,RISE,8.19,2019-02-27 00:00:00,-57281941122,-111560459992,151857839470,2234.79
5024237,331962,FALL,5.96,2019-02-26 00:00:00,52587149454,-29933232288,-11130391018,2226.6
4689860,339233,RISE,2.06,2019-02-25 00:00:00,-79616430722,9115915650,80275227515,2232.56
4645184,409310,RISE,1.84,2019-02-22 00:00:00,-4489698991,-34206063862,40129915874,2230.5
5480909,382510,FALL,1.1,2019-02-21 00:00:00,208350642084,-11715660173,-204832647512,2228.66
5948416,374342,RISE,24.13,2019-02-20 00:00:00,434537456972,-430005578127,-7622944609,2229.76
4534559,389093,FALL,5.26,2019-02-19 00:00:00,-7595622702,-138825492949,141943794647,2205.63
4668186,314370,RISE,14.8,2019-02-18 00:00:00,45572631937,-324089726464,266392639430,2210.89
5097630,400591,FALL,29.76,2019-02-15 00:00:00,-177735141507,198483974390,-44941294626,2196.09
6426022,573362,RISE,24.37,2019-02-14 00:00:00,-47598481932,-192622047092,242683671125,2225.85
5585494,421989,RISE,11.01,2019-02-13 00:00:00,-30643242333,-126050958059,134305305447,2201.48
5929463,429940,RISE,9.74,2019-02-12 00:00:00,-37530351094,-14710983697,46887464654,2190.47
5327610,406059,RISE,3.68,2019-02-11 00:00:00,-57340663493,115581612435,-73260074148,2180.73
5728529,391029,FALL,26.37,2019-02-08 00:00:00,-280259032809,331271999382,-72546332158,2177.05
